"","subj","packet","version","question","ctry","batc","entr","date","response"
"1",10044,1,1,"exwl_11_num","us","first","dominic","2017-12-01",1
"2",10044,1,1,"exwl_11_num","us","second","lucy","2017-12-07",0
"3",10055,2,1,"sen2_18_num","us","first","dominic","2017-12-05",4
"4",10055,2,1,"sen2_18_num","us","second","nikki","2017-12-14",2
"5",10074,2,2,"invo_newlab_2_num","us","first","nikki","2017-12-15",3
"6",10074,2,2,"invo_newlab_2_num","us","second","lucy","2017-12-06",2
"7",10075,3,2,"enco_03_num","us","first","dominic","2017-12-13",4
"8",10075,3,2,"enco_03_num","us","second","lucy","2017-12-18",5
"9",10112,3,1,"enco_06_num","us","first","lucy","2017-12-07",2
"10",10112,3,1,"enco_06_num","us","second","dominic","2017-12-07",3
"11",10114,2,1,"sen_attn_num","us","first","nikki","2017-12-14",1
"12",10114,2,1,"sen_attn_num","us","second","lucy","2017-12-05",0
"13",10121,2,2,"invo_attn_num","us","first","lucy","2017-12-06",0
"14",10121,2,2,"invo_attn_num","us","second","dominic","2017-12-07",1
"15",10124,2,1,"sen_33_num","us","first","dominic","2017-11-20",4
"16",10124,2,1,"sen_33_num","us","second","lucy","2017-11-20",5
"17",10129,1,1,"spev_05_num","us","first","lucy","2017-12-01",5
"18",10129,1,1,"spev_05_num","us","second","dominic","2017-12-01",4
"19",10133,1,2,"exwl_attn_num","us","first","dominic","2017-12-05",0
"20",10133,1,2,"exwl_attn_num","us","second","lucy","2017-12-04",1
"21",10138,1,2,"spev_attn_num","us","first","dominic","2017-12-05",1
"22",10138,1,2,"spev_attn_num","us","second","nikki","2017-12-14",0
"23",10154,1,2,"spev_02_num","us","first","lucy","2017-12-04",3
"24",10154,1,2,"spev_02_num","us","second","dominic","2017-12-04",1
"25",10154,1,2,"spev_03_num","us","first","lucy","2017-12-04",1
"26",10154,1,2,"spev_03_num","us","second","dominic","2017-12-04",3
"27",10157,3,1,"demo_age","us","first","nikki","2017-12-15",20
"28",10157,3,1,"demo_age","us","second","lucy","2017-12-07",29
"29",10160,3,1,"her_03_num","us","first","lucy","2017-11-20",0
"30",10160,3,1,"her_03_num","us","second","dominic","2017-11-22",1
"31",10176,3,1,"minw_04_num","us","first","lucy","2017-12-07",0
"32",10176,3,1,"minw_04_num","us","second","nikki","2017-12-15",1
"33",10176,3,1,"minw_06_num","us","first","lucy","2017-12-07",1
"34",10176,3,1,"minw_06_num","us","second","nikki","2017-12-15",0
"35",10182,1,1,"dse_11_num","us","first","lucy","2017-12-01",2
"36",10182,1,1,"dse_11_num","us","second","dominic","2017-12-01",3
"37",10202,2,2,"sen_12_num","us","first","dominic","2017-12-06",1
"38",10202,2,2,"sen_12_num","us","second","lucy","2017-12-15",2
"39",10202,2,2,"sen_13_num","us","first","dominic","2017-12-06",1
"40",10202,2,2,"sen_13_num","us","second","lucy","2017-12-15",2
"41",10202,2,2,"sen_15_num","us","first","dominic","2017-12-06",1
"42",10202,2,2,"sen_15_num","us","second","lucy","2017-12-15",2
"43",10202,2,2,"sen_16_num","us","first","dominic","2017-12-06",1
"44",10202,2,2,"sen_16_num","us","second","lucy","2017-12-15",2
"45",10228,1,1,"exwl_26_num","us","first","nikki","2017-12-12",0
"46",10228,1,1,"exwl_26_num","us","second","lucy","2017-12-01",1
"47",10228,1,1,"exwl_27_num","us","first","nikki","2017-12-12",1
"48",10228,1,1,"exwl_27_num","us","second","lucy","2017-12-01",0
"49",10228,1,1,"exwl_28_num","us","first","nikki","2017-12-12",0
"50",10228,1,1,"exwl_28_num","us","second","lucy","2017-12-01",1
"51",10236,1,2,"exwl_26_num","us","first","dominic","2017-12-05",1
"52",10236,1,2,"exwl_26_num","us","second","lucy","2017-12-04",0
"53",10266,2,2,"invo_newlab_2_num","us","first","dominic","2017-12-07",2
"54",10266,2,2,"invo_newlab_2_num","us","second","lucy","2017-12-15",1
"55",10318,3,1,"demo_age","us","first","dominic","2017-12-11",19
"56",10318,3,1,"demo_age","us","second","lucy","2017-12-15",18
"57",10318,3,1,"demo_howr_num","us","first","dominic","2017-12-11",4
"58",10318,3,1,"demo_howr_num","us","second","lucy","2017-12-15",3
"59",20002,2,1,"sen_28_num","china","first","lucy","2017-11-20",5
"60",20002,2,1,"sen_28_num","china","second","nikki","2017-11-29",4
"61",20002,3,1,"meta_05_num","china","first","lucy","2017-11-21",5
"62",20002,3,1,"meta_05_num","china","second","nikki","2017-11-29",4
"63",20006,3,1,"demo_age","china","first","dominic","2017-12-20",22
"64",20006,3,1,"demo_age","china","second","nikki","2017-12-20",19
"65",20006,3,1,"enco_01_num","china","first","dominic","2017-12-20",6
"66",20006,3,1,"enco_01_num","china","second","nikki","2017-12-20",1
"67",20006,3,1,"enco_02_num","china","first","dominic","2017-12-20",6
"68",20006,3,1,"enco_02_num","china","second","nikki","2017-12-20",1
"69",20006,3,1,"enco_03_num","china","first","dominic","2017-12-20",6
"70",20006,3,1,"enco_03_num","china","second","nikki","2017-12-20",2
"71",20006,3,1,"enco_04_num","china","first","dominic","2017-12-20",3
"72",20006,3,1,"enco_04_num","china","second","nikki","2017-12-20",1
"73",20006,3,1,"enco_05_num","china","first","dominic","2017-12-20",6
"74",20006,3,1,"enco_05_num","china","second","nikki","2017-12-20",2
"75",20006,3,1,"enco_06_num","china","first","dominic","2017-12-20",6
"76",20006,3,1,"enco_06_num","china","second","nikki","2017-12-20",1
"77",20006,3,1,"enco_07_num","china","first","dominic","2017-12-20",2
"78",20006,3,1,"enco_07_num","china","second","nikki","2017-12-20",1
"79",20006,3,1,"enco_08_num","china","first","dominic","2017-12-20",6
"80",20006,3,1,"enco_08_num","china","second","nikki","2017-12-20",2
"81",20006,3,1,"her_01_num","china","first","dominic","2017-12-20",1
"82",20006,3,1,"her_01_num","china","second","nikki","2017-12-20",0
"83",20006,3,1,"her_03_num","china","first","dominic","2017-12-20",1
"84",20006,3,1,"her_03_num","china","second","nikki","2017-12-20",0
"85",20006,3,1,"her_09_num","china","first","dominic","2017-12-20",1
"86",20006,3,1,"her_09_num","china","second","nikki","2017-12-20",0
"87",20006,3,1,"her_10_num","china","first","dominic","2017-12-20",1
"88",20006,3,1,"her_10_num","china","second","nikki","2017-12-20",0
"89",20006,3,1,"her_13_num","china","first","dominic","2017-12-20",1
"90",20006,3,1,"her_13_num","china","second","nikki","2017-12-20",0
"91",20006,3,1,"meta_01_num","china","first","dominic","2017-12-20",3
"92",20006,3,1,"meta_01_num","china","second","nikki","2017-12-20",2
"93",20006,3,1,"meta_04_num","china","first","dominic","2017-12-20",5
"94",20006,3,1,"meta_04_num","china","second","nikki","2017-12-20",2
"95",20006,3,1,"meta_06_num","china","first","dominic","2017-12-20",3
"96",20006,3,1,"meta_06_num","china","second","nikki","2017-12-20",2
"97",20006,3,1,"meta_07_num","china","first","dominic","2017-12-20",4
"98",20006,3,1,"meta_07_num","china","second","nikki","2017-12-20",2
"99",20006,3,1,"meta_08_num","china","first","dominic","2017-12-20",5
"100",20006,3,1,"meta_08_num","china","second","nikki","2017-12-20",4
"101",20006,3,1,"minw_04_num","china","first","dominic","2017-12-20",1
"102",20006,3,1,"minw_04_num","china","second","nikki","2017-12-20",0
"103",20006,3,1,"minw_08_num","china","first","dominic","2017-12-20",0
"104",20006,3,1,"minw_08_num","china","second","nikki","2017-12-20",1
"105",20006,3,1,"minw_10_num","china","first","dominic","2017-12-20",1
"106",20006,3,1,"minw_10_num","china","second","nikki","2017-12-20",0
"107",20006,3,1,"minw_12_num","china","first","dominic","2017-12-20",1
"108",20006,3,1,"minw_12_num","china","second","nikki","2017-12-20",0
"109",20006,3,1,"minw_16_num","china","first","dominic","2017-12-20",0
"110",20006,3,1,"minw_16_num","china","second","nikki","2017-12-20",1
"111",20006,3,1,"minw_22_num","china","first","dominic","2017-12-20",1
"112",20006,3,1,"minw_22_num","china","second","nikki","2017-12-20",0
"113",20006,3,1,"tat_03_num","china","first","dominic","2017-12-20",1
"114",20006,3,1,"tat_03_num","china","second","nikki","2017-12-20",2
"115",20006,3,1,"tat_06_num","china","first","dominic","2017-12-20",5
"116",20006,3,1,"tat_06_num","china","second","nikki","2017-12-20",4
"117",20006,3,1,"tat_07_num","china","first","dominic","2017-12-20",3
"118",20006,3,1,"tat_07_num","china","second","nikki","2017-12-20",2
"119",20006,3,1,"tat_08_num","china","first","dominic","2017-12-20",3
"120",20006,3,1,"tat_08_num","china","second","nikki","2017-12-20",2
"121",20006,3,1,"tat_09_num","china","first","dominic","2017-12-20",4
"122",20006,3,1,"tat_09_num","china","second","nikki","2017-12-20",2
"123",20006,3,1,"tat_10_num","china","first","dominic","2017-12-20",4
"124",20006,3,1,"tat_10_num","china","second","nikki","2017-12-20",2
"125",20006,3,1,"tat_11_num","china","first","dominic","2017-12-20",3
"126",20006,3,1,"tat_11_num","china","second","nikki","2017-12-20",2
"127",20006,3,1,"tat_12_num","china","first","dominic","2017-12-20",4
"128",20006,3,1,"tat_12_num","china","second","nikki","2017-12-20",2
"129",20006,3,1,"tat_13_num","china","first","dominic","2017-12-20",4
"130",20006,3,1,"tat_13_num","china","second","nikki","2017-12-20",2
"131",20006,3,1,"tat_18_num","china","first","dominic","2017-12-20",4
"132",20006,3,1,"tat_18_num","china","second","nikki","2017-12-20",3
"133",20006,3,1,"tat_20_num","china","first","dominic","2017-12-20",5
"134",20006,3,1,"tat_20_num","china","second","nikki","2017-12-20",3
"135",20006,3,1,"tat_21_num","china","first","dominic","2017-12-20",4
"136",20006,3,1,"tat_21_num","china","second","nikki","2017-12-20",2
"137",20006,3,1,"tat_23_num","china","first","dominic","2017-12-20",4
"138",20006,3,1,"tat_23_num","china","second","nikki","2017-12-20",2
"139",20006,3,1,"tat_24_num","china","first","dominic","2017-12-20",4
"140",20006,3,1,"tat_24_num","china","second","nikki","2017-12-20",3
"141",20006,3,1,"tat_25_num","china","first","dominic","2017-12-20",4
"142",20006,3,1,"tat_25_num","china","second","nikki","2017-12-20",2
"143",20006,3,1,"tat_26_num","china","first","dominic","2017-12-20",3
"144",20006,3,1,"tat_26_num","china","second","nikki","2017-12-20",4
"145",20006,3,1,"tat_28_num","china","first","dominic","2017-12-20",4
"146",20006,3,1,"tat_28_num","china","second","nikki","2017-12-20",2
"147",20006,3,1,"tat_29_num","china","first","dominic","2017-12-20",4
"148",20006,3,1,"tat_29_num","china","second","nikki","2017-12-20",2
"149",20006,3,1,"tat_30_num","china","first","dominic","2017-12-20",4
"150",20006,3,1,"tat_30_num","china","second","nikki","2017-12-20",3
"151",20009,1,1,"dse_15_num","china","first","lucy","2017-12-18",1
"152",20009,1,1,"dse_15_num","china","second","dominic","2017-12-13",2
"153",20009,1,1,"dse_16_num","china","first","lucy","2017-12-18",1
"154",20009,1,1,"dse_16_num","china","second","dominic","2017-12-13",2
"155",20009,2,1,"sen2_06_num","china","first","lucy","2017-12-18",5
"156",20009,2,1,"sen2_06_num","china","second","dominic","2017-12-15",4
"157",20009,2,1,"sen2_07_num","china","first","lucy","2017-12-18",5
"158",20009,2,1,"sen2_07_num","china","second","dominic","2017-12-15",4
"159",20014,1,1,"dse_06_num","china","first","dominic","2017-12-13",4
"160",20014,1,1,"dse_06_num","china","second","lucy","2017-12-11",3
"161",20028,1,1,"exwl_27_num","china","first","lucy","2017-12-11",1
"162",20028,1,1,"exwl_27_num","china","second","dominic","2017-12-13",0
"163",20034,2,1,"sen2_01_num","china","first","lucy","2017-12-14",2
"164",20034,2,1,"sen2_01_num","china","second","dominic","2017-12-18",1
"165",20034,2,1,"sen2_02_num","china","first","lucy","2017-12-14",5
"166",20034,2,1,"sen2_02_num","china","second","dominic","2017-12-18",4
"167",20034,2,1,"sen2_03_num","china","first","lucy","2017-12-14",2
"168",20034,2,1,"sen2_03_num","china","second","dominic","2017-12-18",1
"169",20034,2,1,"sen2_04_num","china","first","lucy","2017-12-14",5
"170",20034,2,1,"sen2_04_num","china","second","dominic","2017-12-18",4
"171",20036,3,1,"enco_08_num","china","first","lucy","2017-12-19",3
"172",20036,3,1,"enco_08_num","china","second","nikki","2017-12-20",2
"173",20041,1,1,"dse_01_num","china","first","dominic","2017-12-13",2
"174",20041,1,1,"dse_01_num","china","second","lucy","2017-12-12",1
"175",20041,1,1,"dse_02_num","china","first","dominic","2017-12-13",3
"176",20041,1,1,"dse_02_num","china","second","lucy","2017-12-12",2
"177",20041,1,1,"dse_03_num","china","first","dominic","2017-12-13",2
"178",20041,1,1,"dse_03_num","china","second","lucy","2017-12-12",1
"179",20041,1,1,"dse_04_num","china","first","dominic","2017-12-13",2
"180",20041,1,1,"dse_04_num","china","second","lucy","2017-12-12",1
"181",20041,1,1,"dse_05_num","china","first","dominic","2017-12-13",2
"182",20041,1,1,"dse_05_num","china","second","lucy","2017-12-12",1
"183",20044,2,1,"invo_newlab_1_num","china","first","dominic","2017-12-18",3
"184",20044,2,1,"invo_newlab_1_num","china","second","lucy","2017-12-14",2
"185",20048,2,1,"invo_newlab_23_num","china","first","lucy","2017-12-15",3
"186",20048,2,1,"invo_newlab_23_num","china","second","dominic","2017-12-19",2
"187",20050,1,1,"dse_15_num","china","first","dominic","2017-12-14",2
"188",20050,1,1,"dse_15_num","china","second","lucy","2017-12-12",1
"189",20050,1,1,"dse_16_num","china","first","dominic","2017-12-14",2
"190",20050,1,1,"dse_16_num","china","second","lucy","2017-12-12",1
"191",20054,1,2,"dse_15_num","china","first","lucy","2017-11-20",1
"192",20054,1,2,"dse_15_num","china","second","dominic","2017-11-21",2
"193",20054,1,2,"dse_16_num","china","first","lucy","2017-11-20",1
"194",20054,1,2,"dse_16_num","china","second","dominic","2017-11-21",2
"195",20054,3,2,"enco_02_num","china","first","lucy","2017-11-21",3
"196",20054,3,2,"enco_02_num","china","second","dominic","2017-11-21",2
"197",20054,3,2,"enco_03_num","china","first","lucy","2017-11-21",3
"198",20054,3,2,"enco_03_num","china","second","dominic","2017-11-21",2
"199",20054,3,2,"enco_07_num","china","first","lucy","2017-11-21",3
"200",20054,3,2,"enco_07_num","china","second","dominic","2017-11-21",2
"201",20054,3,2,"enco_08_num","china","first","lucy","2017-11-21",3
"202",20054,3,2,"enco_08_num","china","second","dominic","2017-11-21",2
"203",20055,1,2,"dse_13_num","china","first","nikki","2017-11-28",4
"204",20055,1,2,"dse_13_num","china","second","lucy","2017-11-21",3
"205",20055,1,2,"dse_14_num","china","first","nikki","2017-11-28",5
"206",20055,1,2,"dse_14_num","china","second","lucy","2017-11-21",4
"207",20077,2,2,"sen_20_num","china","first","lucy","2017-12-18",4
"208",20077,2,2,"sen_20_num","china","second","dominic","2017-12-19",5
"209",20077,2,2,"sen_21_num","china","first","lucy","2017-12-18",4
"210",20077,2,2,"sen_21_num","china","second","dominic","2017-12-19",5
"211",20077,2,2,"sen_22_num","china","first","lucy","2017-12-18",3
"212",20077,2,2,"sen_22_num","china","second","dominic","2017-12-19",4
"213",20077,2,2,"sen_23_num","china","first","lucy","2017-12-18",3
"214",20077,2,2,"sen_23_num","china","second","dominic","2017-12-19",4
"215",20087,1,2,"demo_age","us","first","dominic","2017-12-14",18
"216",20087,1,2,"demo_age","china","second","lucy","2017-12-13",20
"217",20095,1,2,"dse_01_num","china","first","lucy","2017-12-13",2
"218",20095,1,2,"dse_01_num","china","second","dominic","2017-12-14",3
"219",20095,1,2,"dse_02_num","china","first","lucy","2017-12-13",2
"220",20095,1,2,"dse_02_num","china","second","dominic","2017-12-14",3
"221",20095,1,2,"dse_03_num","china","first","lucy","2017-12-13",2
"222",20095,1,2,"dse_03_num","china","second","dominic","2017-12-14",3
"223",20095,1,2,"spev_16_num","china","first","lucy","2017-12-13",3
"224",20095,1,2,"spev_16_num","china","second","dominic","2017-12-14",2
"225",30003,1,1,"dse_06_num","thailand","first","nikki","2017-11-29",4
"226",30003,1,1,"dse_06_num","thailand","second","dominic","2017-11-27",5
"227",30003,1,1,"dse_08_num","thailand","first","nikki","2017-11-29",3
"228",30003,1,1,"dse_08_num","thailand","second","dominic","2017-11-27",4
"229",30115,2,1,"sen_24_num","thailand","first","nikki","2017-11-29",2
"230",30115,2,1,"sen_24_num","thailand","second","dominic","2017-11-27",3
"231",30115,2,1,"sen_25_num","thailand","first","nikki","2017-11-29",3
"232",30115,2,1,"sen_25_num","thailand","second","dominic","2017-11-27",4
"233",30133,2,1,"sen2_04_num","thailand","first","lucy","2017-12-27",5
"234",30133,2,1,"sen2_04_num","thailand","second","dominic","2018-01-02",4
"235",30174,2,2,"invo_newlab_11_num","thailand","first","nikki","2017-11-29",5
"236",30174,2,2,"invo_newlab_11_num","thailand","second","lucy","2017-11-28",1
"237",30174,2,2,"invo_newlab_13_num","thailand","first","nikki","2017-11-29",3
"238",30174,2,2,"invo_newlab_13_num","thailand","second","lucy","2017-11-28",5
"239",30174,2,2,"invo_newlab_14_num","thailand","first","nikki","2017-11-29",5
"240",30174,2,2,"invo_newlab_14_num","thailand","second","lucy","2017-11-28",3
"241",30229,3,1,"enco_02_num","thailand","first","lucy","2017-11-22",3
"242",30229,3,1,"enco_02_num","thailand","second","nikki","2017-11-29",2
"243",30284,3,2,"minw_22_num","thailand","first","lucy","2017-12-28",0
"244",30284,3,2,"minw_22_num","thailand","second","dominic","2018-01-23",1
"245",30284,3,2,"minw_23_num","thailand","first","lucy","2017-12-28",1
"246",30284,3,2,"minw_23_num","thailand","second","dominic","2018-01-23",0
"247",30284,3,2,"minw_24_num","thailand","first","lucy","2017-12-28",0
"248",30284,3,2,"minw_24_num","thailand","second","dominic","2018-01-23",1
"249",40012,2,1,"sen_27_num","ghana","first","lucy","2018-01-23",4
"250",40012,2,1,"sen_27_num","ghana","second","dominic","2018-01-04",2
"251",40028,1,1,"demo_howr_num","ghana","first","lucy","2018-01-23",3
"252",40028,1,1,"demo_howr_num","ghana","second","dominic","2018-01-02",4
"253",40043,1,1,"exwl_attn_num","ghana","first","dominic","2018-01-23",0
"254",40043,1,1,"exwl_attn_num","ghana","second","lucy","2017-12-29",1
"255",40160,2,2,"invo_newlab_16_num","ghana","first","lucy","2018-01-03",2
"256",40160,2,2,"invo_newlab_16_num","ghana","second","dominic","2018-01-05",4
"257",50002,1,1,"demo_age","vanuatu","first","lucy","2017-11-28",27
"258",50002,1,1,"demo_age","vanuatu","second","nikki","2017-11-30",21
"259",50051,1,2,"demo_howr_num","vanuatu","first","dominic","2017-11-28",5
"260",50051,1,2,"demo_howr_num","vanuatu","second","nikki","2017-11-30",4
"261",50102,2,1,"invo_attn_num","vanuatu","first","lucy","2017-11-28",1
"262",50102,2,1,"invo_attn_num","vanuatu","second","nikki","2017-11-30",0
"263",50104,2,1,"sen_attn_num","vanuatu","first","lucy","2018-01-04",0
"264",50104,2,1,"sen_attn_num","vanuatu","second","dominic","2018-01-08",1
"265",50104,2,1,"sen2_attn_num","vanuatu","first","lucy","2018-01-04",0
"266",50104,2,1,"sen2_attn_num","vanuatu","second","dominic","2018-01-08",1
"267",50106,2,1,"sen_22_num","vanuatu","first","dominic","2018-01-25",1
"268",50106,2,1,"sen_22_num","vanuatu","second","lucy","2018-01-04",2
"269",50106,2,1,"sen_attn_num","vanuatu","first","dominic","2018-01-25",0
"270",50106,2,1,"sen_attn_num","vanuatu","second","lucy","2018-01-04",1
"271",50106,2,1,"sen2_attn_num","vanuatu","first","dominic","2018-01-25",0
"272",50106,2,1,"sen2_attn_num","vanuatu","second","lucy","2018-01-04",1
"273",50133,2,1,"sen_attn_num","vanuatu","first","dominic","2018-01-08",1
"274",50133,2,1,"sen_attn_num","vanuatu","second","lucy","2018-01-25",0
"275",50150,2,1,"sen_attn_num","vanuatu","first","lucy","2018-01-04",1
"276",50150,2,1,"sen_attn_num","vanuatu","second","dominic","2018-01-25",0
"277",50151,2,2,"demo_howr_num","vanuatu","first","dominic","2017-11-28",4
"278",50151,2,2,"demo_howr_num","vanuatu","second","nikki","2017-11-30",3
"279",50151,2,2,"sen2_attn_num","vanuatu","first","dominic","2017-11-28",1
"280",50151,2,2,"sen2_attn_num","vanuatu","second","nikki","2017-11-30",0
"281",50187,2,2,"sen2_attn_num","vanuatu","first","lucy","2018-01-04",1
"282",50187,2,2,"sen2_attn_num","vanuatu","second","dominic","2018-01-09",0
"283",50195,2,2,"sen_attn_num","vanuatu","first","dominic","2018-01-09",0
"284",50195,2,2,"sen_attn_num","vanuatu","second","lucy","2018-01-05",1
"285",50206,3,1,"enco_02_num","vanuatu","first","dominic","2018-01-09",2
"286",50206,3,1,"enco_02_num","vanuatu","second","lucy","2018-01-05",3
"287",50206,3,1,"her_07_num","vanuatu","first","dominic","2018-01-09",0
"288",50206,3,1,"her_07_num","vanuatu","second","lucy","2018-01-05",1
"289",50251,3,2,"her_05a_num","vanuatu","first","dominic","2017-11-28",1
"290",50251,3,2,"her_05a_num","vanuatu","second","nikki","2017-11-30",0
"291",50251,3,2,"meta_attn_num","vanuatu","first","dominic","2017-11-28",1
"292",50251,3,2,"meta_attn_num","vanuatu","second","nikki","2017-11-30",0
"293",50251,3,2,"tat_10_num","vanuatu","first","dominic","2017-11-28",2
"294",50251,3,2,"tat_10_num","vanuatu","second","nikki","2017-11-30",4
